# Station : HERBAUDIERE
# Longitude : -2.298913
# Latitude : 47.024943
# Organisme fournisseur de données : Shom, CCNoirmoutier, CCI Vendée, CG85
# Fuseau horaire : UTC
# Référence verticale : zero_hydrographique
# Unité : m
# Source 1 : Données brutes temps réel
# Source 2 : Données brutes temps différé
# Source 3 : Données validées temps différé
# Source 4 : Données horaires validées
# Source 5 : Données horaires brutes
# Source 6 : Pleines et basses mers
# Date;Valeur;Source
10/01/2021 18:00:00;2.002;4
10/01/2021 19:00:00;1.38;4
10/01/2021 20:00:00;1.36;4
10/01/2021 21:00:00;1.955;4
10/01/2021 22:00:00;2.904;4
10/01/2021 23:00:00;3.822;4
11/01/2021 00:00:00;4.57;4
11/01/2021 01:00:00;5.032;4
11/01/2021 02:00:00;5.187;4
11/01/2021 03:00:00;5.063;4
11/01/2021 04:00:00;4.498;4
11/01/2021 05:00:00;3.499;4
11/01/2021 06:00:00;2.355;4
11/01/2021 07:00:00;1.49;4
11/01/2021 08:00:00;1.21;4
11/01/2021 09:00:00;1.594;4
11/01/2021 10:00:00;2.46;4
11/01/2021 11:00:00;3.452;4
11/01/2021 12:00:00;4.271;4
11/01/2021 13:00:00;4.806;4
11/01/2021 14:00:00;5.094;4
11/01/2021 15:00:00;5.203;4
11/01/2021 16:00:00;4.902;4
11/01/2021 17:00:00;4.112;4
11/01/2021 18:00:00;2.98;4
11/01/2021 19:00:00;1.88;4
11/01/2021 20:00:00;1.245;4
11/01/2021 21:00:00;1.298;4
11/01/2021 22:00:00;2.019;4
11/01/2021 23:00:00;3.107;4
12/01/2021 00:00:00;4.152;4
12/01/2021 01:00:00;4.933;4
12/01/2021 02:00:00;5.367;4
12/01/2021 03:00:00;5.46;4
12/01/2021 04:00:00;5.252;4
12/01/2021 05:00:00;4.569;4
12/01/2021 06:00:00;3.465;4
12/01/2021 07:00:00;2.225;4
12/01/2021 08:00:00;1.295;4
12/01/2021 09:00:00;1.02;4
12/01/2021 10:00:00;1.49;4
12/01/2021 11:00:00;2.458;4
12/01/2021 12:00:00;3.556;4
12/01/2021 13:00:00;4.443;4
12/01/2021 14:00:00;5.054;4
12/01/2021 15:00:00;5.338;4
12/01/2021 16:00:00;5.316;4
12/01/2021 17:00:00;4.852;4
12/01/2021 18:00:00;3.904;4
12/01/2021 19:00:00;2.7;4
12/01/2021 20:00:00;1.613;4
12/01/2021 21:00:00;1.032;4
12/01/2021 22:00:00;1.167;4
12/01/2021 23:00:00;2.044;4
13/01/2021 00:00:00;3.259;4
13/01/2021 01:00:00;4.349;4
13/01/2021 02:00:00;5.139;4
13/01/2021 03:00:00;5.53;4
13/01/2021 04:00:00;5.524;4
13/01/2021 05:00:00;5.187;4
13/01/2021 06:00:00;4.352;4
